Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Actual end),Custom field (Actual start),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Compass),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field ([CHART] Date of First Response),Status Category
As a registered user I should be able to remove the friends from white list.,COV-23,10032,Story,To Do,COV,Covid19 Safety Protocol Tracker1,software,Saisindhu Jammula,63fbd7854307e46ad1439551,,Medium,,,,Saisindhu Jammula,63fbd7854307e46ad1439551,Saisindhu Jammula,63fbd7854307e46ad1439551,27/Feb/23 1:26 PM,05/Mar/23 3:59 PM,05/Mar/23 7:34 PM,,,0,,,Saisindhu Jammula,63fbd7854307e46ad1439551,,,,,,,,,,,,,,,,,,,,,,,,0|i00073:,,COV Sprint 3,,,,,,,,,,To Do
As a registered user I should be able to white list my trusted friends.,COV-22,10031,Story,To Do,COV,Covid19 Safety Protocol Tracker1,software,Saisindhu Jammula,63fbd7854307e46ad1439551,,Medium,,,,Saisindhu Jammula,63fbd7854307e46ad1439551,Saisindhu Jammula,63fbd7854307e46ad1439551,27/Feb/23 1:24 PM,27/Feb/23 1:24 PM,05/Mar/23 7:34 PM,,,0,,,Saisindhu Jammula,63fbd7854307e46ad1439551,,,,,,,,,,,,,,,,,,,,,,,,0|i0006v:,,COV Sprint 3,,,,,,,,,,To Do
As a registered user I should be able to see my friend list.,COV-21,10030,Story,To Do,COV,Covid19 Safety Protocol Tracker1,software,Saisindhu Jammula,63fbd7854307e46ad1439551,,Medium,,,,Saisindhu Jammula,63fbd7854307e46ad1439551,Saisindhu Jammula,63fbd7854307e46ad1439551,27/Feb/23 1:24 PM,27/Feb/23 1:24 PM,05/Mar/23 7:34 PM,,,0,,,Saisindhu Jammula,63fbd7854307e46ad1439551,,,,,,,,,,,,,,,,,,,,,,,,0|i0006n:,,COV Sprint 3,,,,,,,,,,To Do
As a registered user I should be able to send my application QR code to my friend to add in the friend list.,COV-20,10029,Story,To Do,COV,Covid19 Safety Protocol Tracker1,software,Saisindhu Jammula,63fbd7854307e46ad1439551,,Medium,,,,Saisindhu Jammula,63fbd7854307e46ad1439551,Saisindhu Jammula,63fbd7854307e46ad1439551,27/Feb/23 1:21 PM,27/Feb/23 1:21 PM,05/Mar/23 7:34 PM,,,0,,,Saisindhu Jammula,63fbd7854307e46ad1439551,,,,,,,,,,,,,,,,,,,,,,,,0|i0006f:,,COV Sprint 3,,,,,,,,,,To Do
As a registered user I should be able to add my friends through QR code.,COV-19,10028,Story,To Do,COV,Covid19 Safety Protocol Tracker1,software,Saisindhu Jammula,63fbd7854307e46ad1439551,,Medium,,,,Saisindhu Jammula,63fbd7854307e46ad1439551,Saisindhu Jammula,63fbd7854307e46ad1439551,27/Feb/23 1:20 PM,27/Feb/23 1:20 PM,05/Mar/23 7:34 PM,,,0,,,Saisindhu Jammula,63fbd7854307e46ad1439551,,,,,,,,,,,,,,,,,,,,,,,,0|i00067:,,COV Sprint 3,,,,,,,,,,To Do
As a registered user I should be able to start the play button and search for infected person in the bluetooth range.,COV-18,10027,Story,To Do,COV,Covid19 Safety Protocol Tracker1,software,Saisindhu Jammula,63fbd7854307e46ad1439551,,Medium,,,,Saisindhu Jammula,63fbd7854307e46ad1439551,Saisindhu Jammula,63fbd7854307e46ad1439551,27/Feb/23 1:20 PM,27/Feb/23 1:20 PM,05/Mar/23 7:34 PM,,,0,,,Saisindhu Jammula,63fbd7854307e46ad1439551,,,,,,,,,,,,,,,,,,,,,,,,0|i0005z:,,COV Sprint 3,,,,,,,,,,To Do
As a registered user I should be able to see the pause button in the home page.,COV-17,10026,Story,To Do,COV,Covid19 Safety Protocol Tracker1,software,Saisindhu Jammula,63fbd7854307e46ad1439551,,Medium,,,,Saisindhu Jammula,63fbd7854307e46ad1439551,Saisindhu Jammula,63fbd7854307e46ad1439551,27/Feb/23 1:19 PM,27/Feb/23 1:19 PM,05/Mar/23 7:34 PM,,,0,,,Saisindhu Jammula,63fbd7854307e46ad1439551,,,,,,,,,,,,,,,,,,,,,,,,0|i0005r:,,COV Sprint 3,,,,,,,,,,To Do
As  a registered user I should be able to see the play the button in the home page.,COV-16,10025,Story,To Do,COV,Covid19 Safety Protocol Tracker1,software,Saisindhu Jammula,63fbd7854307e46ad1439551,,Medium,,,,Saisindhu Jammula,63fbd7854307e46ad1439551,Saisindhu Jammula,63fbd7854307e46ad1439551,27/Feb/23 1:18 PM,27/Feb/23 1:18 PM,05/Mar/23 7:34 PM,,,0,,,Saisindhu Jammula,63fbd7854307e46ad1439551,,,,,,,,,,,,,,,,,,,,,,,,0|i0005j:,,COV Sprint 3,,,,,,,,,,To Do
"As a registered user I should be able to see the home page, once I login in to the application.",COV-15,10024,Story,Done,COV,Covid19 Safety Protocol Tracker1,software,Saisindhu Jammula,63fbd7854307e46ad1439551,,Medium,Done,Sai nikhil reddy,63fbd91a93cf2599462d2623,Saisindhu Jammula,63fbd7854307e46ad1439551,Saisindhu Jammula,63fbd7854307e46ad1439551,27/Feb/23 1:18 PM,05/Mar/23 12:52 PM,05/Mar/23 2:05 PM,05/Mar/23 12:52 PM,,0,,,Saisindhu Jammula,63fbd7854307e46ad1439551,,,,,,,,,,,,,,,,,,,,,,,,0|i0005b:,,COV Sprint 2,,,,,,,,,,Done
"As a user I should be able to get pop up notification, asking required permissions for the application.",COV-14,10023,Story,Done,COV,Covid19 Safety Protocol Tracker1,software,Saisindhu Jammula,63fbd7854307e46ad1439551,,Medium,Done,Sahith Chowdary Narukulla,62c8f6face5a604dbfb5aa6b,Saisindhu Jammula,63fbd7854307e46ad1439551,Saisindhu Jammula,63fbd7854307e46ad1439551,27/Feb/23 1:17 PM,05/Mar/23 12:26 PM,05/Mar/23 2:01 PM,05/Mar/23 12:26 PM,,0,,,Saisindhu Jammula,63fbd7854307e46ad1439551,,,,,,,,,,,,,,,,,,,,,,,,0|i00053:,,COV Sprint 2,,,,,,,,,,Done
As a user I should be able to get pop up notification to turn on bluetooth if application is being used.,COV-13,10022,Story,Done,COV,Covid19 Safety Protocol Tracker1,software,Saisindhu Jammula,63fbd7854307e46ad1439551,,Medium,Done,Sahith Chowdary Narukulla,62c8f6face5a604dbfb5aa6b,Saisindhu Jammula,63fbd7854307e46ad1439551,Saisindhu Jammula,63fbd7854307e46ad1439551,27/Feb/23 1:16 PM,05/Mar/23 12:26 PM,05/Mar/23 1:56 PM,05/Mar/23 12:26 PM,,0,,,Saisindhu Jammula,63fbd7854307e46ad1439551,,,,,,,,,,,,,,,,,,,,,,,,0|i0004v:,,COV Sprint 2,,,,,,,,,,Done
As a user I should be able to the user name and get registered in the application. ,COV-12,10021,Story,Done,COV,Covid19 Safety Protocol Tracker1,software,Saisindhu Jammula,63fbd7854307e46ad1439551,,Medium,Done,Bharadwaja vemulapally,63fbd98893cf2599462d262f,Saisindhu Jammula,63fbd7854307e46ad1439551,Saisindhu Jammula,63fbd7854307e46ad1439551,27/Feb/23 1:16 PM,05/Mar/23 12:52 PM,05/Mar/23 1:50 PM,05/Mar/23 12:52 PM,,0,,,Saisindhu Jammula,63fbd7854307e46ad1439551,,,,,,,,,,,,,,,,,,,,,,,,0|i0004n:,,COV Sprint 2,,,,,,,,,,Done
As a user I should be able to see the Registration page for the application.,COV-11,10020,Story,Done,COV,Covid19 Safety Protocol Tracker1,software,Saisindhu Jammula,63fbd7854307e46ad1439551,,Medium,Done,Anivireddy,63fbd9880e0ddcdce18bda09,Saisindhu Jammula,63fbd7854307e46ad1439551,Saisindhu Jammula,63fbd7854307e46ad1439551,27/Feb/23 1:15 PM,05/Mar/23 12:52 PM,05/Mar/23 1:44 PM,05/Mar/23 12:52 PM,,0,,,Saisindhu Jammula,63fbd7854307e46ad1439551,,,,,,,,,,,,,,,,,,,,,,,,0|i0004f:,,COV Sprint 2,,,,,,,,,,Done
As a user I should be able to reset the permissions for application anytime.,COV-10,10019,Story,Done,COV,Covid19 Safety Protocol Tracker1,software,Saisindhu Jammula,63fbd7854307e46ad1439551,,Medium,Done,Anivireddy,63fbd9880e0ddcdce18bda09,Saisindhu Jammula,63fbd7854307e46ad1439551,Saisindhu Jammula,63fbd7854307e46ad1439551,27/Feb/23 1:15 PM,05/Mar/23 12:52 PM,05/Mar/23 1:41 PM,05/Mar/23 12:52 PM,,0,,,Saisindhu Jammula,63fbd7854307e46ad1439551,,,,,,,,,,,,,,,,,,,,,,,,0|i00047:,,COV Sprint 2,,,,,,,,,,Done
As a user I should be able to give all the required permissions to application to access the required data in mobile.,COV-9,10018,Story,Done,COV,Covid19 Safety Protocol Tracker1,software,Saisindhu Jammula,63fbd7854307e46ad1439551,,Medium,Done,Anil Babu,63fbd9884307e46ad143957c,Saisindhu Jammula,63fbd7854307e46ad1439551,Saisindhu Jammula,63fbd7854307e46ad1439551,27/Feb/23 1:14 PM,05/Mar/23 12:52 PM,05/Mar/23 1:35 PM,05/Mar/23 12:52 PM,,0,,,Saisindhu Jammula,63fbd7854307e46ad1439551,,,,,,,,,,,,,,,,,,,,,,,,0|i0003z:,,COV Sprint 2,,,,,,,,,,Done
"As a user I should be able to see the Knowledge page after welcome page , which has information of how application works.",COV-8,10017,Story,Done,COV,Covid19 Safety Protocol Tracker1,software,Saisindhu Jammula,63fbd7854307e46ad1439551,,Medium,Done,Anil Babu,63fbd9884307e46ad143957c,Saisindhu Jammula,63fbd7854307e46ad1439551,Saisindhu Jammula,63fbd7854307e46ad1439551,27/Feb/23 1:14 PM,05/Mar/23 4:39 PM,05/Mar/23 7:34 PM,05/Mar/23 4:39 PM,,0,,,Saisindhu Jammula,63fbd7854307e46ad1439551,,,,,,,,,,,,,,,,,,,,,,,,0|i0003r:,,COV Sprint 2,,,,,,,,,,Done
As a user I should be able to see the welcome page for Application.,COV-7,10016,Story,Done,COV,Covid19 Safety Protocol Tracker1,software,Saisindhu Jammula,63fbd7854307e46ad1439551,,Medium,Done,Saisindhu Jammula,63fbd7854307e46ad1439551,Saisindhu Jammula,63fbd7854307e46ad1439551,Saisindhu Jammula,63fbd7854307e46ad1439551,27/Feb/23 1:14 PM,05/Mar/23 12:52 PM,05/Mar/23 1:25 PM,05/Mar/23 12:52 PM,,0,,,Saisindhu Jammula,63fbd7854307e46ad1439551,,,,,,,,,,,,,,,,,,,,,,,,0|i0003j:,,COV Sprint 2,,,,,,,,,,Done
As a user I should have a Apk file which can be installed in mobile with basic functionalities.,COV-6,10015,Story,Done,COV,Covid19 Safety Protocol Tracker1,software,Saisindhu Jammula,63fbd7854307e46ad1439551,,Medium,Done,Anil Babu,63fbd9884307e46ad143957c,Saisindhu Jammula,63fbd7854307e46ad1439551,Saisindhu Jammula,63fbd7854307e46ad1439551,27/Feb/23 1:14 PM,05/Mar/23 3:55 PM,05/Mar/23 1:07 PM,05/Mar/23 12:52 PM,,0,,,Saisindhu Jammula,63fbd7854307e46ad1439551,,,,,,,,,,,,,,,,,,,,,,,,0|i0003b:,,COV Sprint 2,,,,,,,,,,Done
As a team we should plan the product requirements and development plan for the project,COV-5,10014,Story,Done,COV,Covid19 Safety Protocol Tracker1,software,Saisindhu Jammula,63fbd7854307e46ad1439551,,Medium,Done,Anivireddy,63fbd9880e0ddcdce18bda09,Saisindhu Jammula,63fbd7854307e46ad1439551,Saisindhu Jammula,63fbd7854307e46ad1439551,27/Feb/23 12:36 PM,05/Mar/23 12:09 PM,05/Mar/23 7:33 PM,05/Mar/23 12:09 PM,,0,,,Saisindhu Jammula,63fbd7854307e46ad1439551,,,,,,,,,,,,,,,,,,,,,,,,0|i00033:,,COV Sprint 1,,3.0,,,,,,,,Done
As a team we should develop required technical and functional knowledge required to complete the project.,COV-4,10013,Story,Done,COV,Covid19 Safety Protocol Tracker1,software,Saisindhu Jammula,63fbd7854307e46ad1439551,,Medium,Done,Anil Babu,63fbd9884307e46ad143957c,Saisindhu Jammula,63fbd7854307e46ad1439551,Saisindhu Jammula,63fbd7854307e46ad1439551,27/Feb/23 12:34 PM,05/Mar/23 12:21 PM,05/Mar/23 12:21 PM,05/Mar/23 12:21 PM,,0,,,Saisindhu Jammula,63fbd7854307e46ad1439551,,,,,,,,,,,,,,,,,,,,,,,,0|i0002v:,,COV Sprint 1,,3.0,,,,,,,,Done
As a Team we should divide roles and responsibilities among our selves to develop the project,COV-3,10012,Story,Done,COV,Covid19 Safety Protocol Tracker1,software,Saisindhu Jammula,63fbd7854307e46ad1439551,,Medium,Done,Bharadwaja vemulapally,63fbd98893cf2599462d262f,Saisindhu Jammula,63fbd7854307e46ad1439551,Saisindhu Jammula,63fbd7854307e46ad1439551,27/Feb/23 12:34 PM,05/Mar/23 12:08 PM,05/Mar/23 12:08 PM,05/Mar/23 12:08 PM,,0,,,Saisindhu Jammula,63fbd7854307e46ad1439551,,,,,,,,,,,,,,,,,,,,,,,,0|i0002n:,,COV Sprint 1,,1.0,,,,,,,,Done
As a Team we should have team work agreement with all the rules and regulations,COV-2,10011,Story,Done,COV,Covid19 Safety Protocol Tracker1,software,Saisindhu Jammula,63fbd7854307e46ad1439551,,Medium,Done,Sahith Chowdary Narukulla,62c8f6face5a604dbfb5aa6b,Saisindhu Jammula,63fbd7854307e46ad1439551,Saisindhu Jammula,63fbd7854307e46ad1439551,27/Feb/23 12:33 PM,05/Mar/23 12:08 PM,05/Mar/23 12:08 PM,05/Mar/23 12:08 PM,,0,,,Saisindhu Jammula,63fbd7854307e46ad1439551,,,,,,,,,,,,,,,,,,,,,,,,0|i0002f:,,COV Sprint 1,,1.0,,,,,,,,Done
To gather all the requirements for the project,COV-1,10010,Story,Done,COV,Covid19 Safety Protocol Tracker1,software,Saisindhu Jammula,63fbd7854307e46ad1439551,,Medium,Done,Saisindhu Jammula,63fbd7854307e46ad1439551,Saisindhu Jammula,63fbd7854307e46ad1439551,Saisindhu Jammula,63fbd7854307e46ad1439551,27/Feb/23 12:30 PM,05/Mar/23 12:08 PM,05/Mar/23 12:08 PM,05/Mar/23 12:08 PM,,0,,,Saisindhu Jammula,63fbd7854307e46ad1439551,,,,,,,,,,,,,,,,,,,,,,,,0|i00027:,,COV Sprint 1,,5.0,,,,,,,,Done
